barcodeID,percentGreen
20107,63.7903272096698
20773,70.2801404638754
20840,85.5376259822985
20913,79.9353961704552
21589,64.0684933743497
21941,81.110696816986
21991,79.0729979814041
22209,60.500775046661
22283,76.957153268675
22303,70.8575152887006
22603,78.5030101688055
22612,76.7644649057782
22702,72.1260149840063
23401,72.0209573581258
23461,82.9685854964816
23588,78.9236648982936
23641,72.4515920850184
24159,76.1114209580467
24199,81.8079997491696
24341,82.0932785922995
24427,57.6320405523926
24543,76.9410486316771
24604,61.5037925170404
24762,64.5978236552437
24778,69.2434848319131
24781,74.1305739898335
24837,83.2810027809525
24994,69.5642727165736
25315,80.522190217335
25506,79.4319818987455
25661,73.0397598755348
25724,84.0098864045569
25910,69.9984178828203
26068,50.8277225765617
26103,35.3776925961418
26204,79.6775795442233
26289,78.6443522187898
26427,19.6152872690458
26547,70.4419633686805
26642,75.9253340940558
26743,56.792068110951
26824,80.313849928694
27057,62.386935060173
27059,65.9950506162092
27120,67.6581084537665
27375,84.8742496665185
27387,64.9644651512365
27480,73.5481750080937
27826,63.3147800429184
27901,48.7933702648754
27967,74.0463086068793
28155,69.0629650407105
28163,51.6507859342084
28395,70.2554308447896
28679,84.331908966632
28762,73.5460663239737
28832,56.0422497607627
28882,61.2916653783998
29332,67.4851660993232
29706,67.4072294016965
29801,69.7651854090593
30529,85.9965204673976
30771,75.1947137114771
30786,71.6668352288922
31552,69.661221167709
31841,72.0278888911572
32137,83.5519045694824
32196,74.5913967538174
32374,67.8201150427052
32908,64.0835098184188
33847,57.5119458405685
33900,60.2613243062724
34121,68.7954882265767
34122,76.496759371673
34521,62.5197675148184
34680,78.5977959096886
35106,84.5723446156766
35208,64.2176166811558
35222,69.5445826819239
35469,67.1296875777587
35764,73.3614733081073
35802,70.2561146704586
36038,68.6614117228709
36145,85.5119945341631
36432,77.3641046062988
36605,82.1624389878783
36731,74.7923193902417
36912,78.6633347965777
37191,54.8321261354996
37381,71.6339287676049
38025,71.7998804920726
38114,66.4581151638035
38118,68.1124219110994
38386,67.250177769521
38450,64.2335387441062
38947,65.2821252448402
39034,69.1349679119403
39146,55.0300835213553
39291,77.8802965780708
39493,71.1415988763536
39992,79.4883565756989
